agency,title,price,currency,bedrooms,bathrooms,location,url,image_url,duplicate_flag,first_seen
mexintl,Affordable home in Merida near Airport & Centro! –,111000.0,USD,,2,006816,https://mexintl.com.mx/listing/006816/,https://mexintl.com.mx/wp-content/uploads/2026/05/IMG_7595.jpeg,,2026-05-09
mexintl,Santa Clara | Beachfront Lots | Private Property | Ready to Build,207000.0,USD,,,006803,https://mexintl.com.mx/listing/006803/,https://mexintl.com.mx/wp-content/uploads/2026/04/PHOTO-2026-03-26-14-02-12.jpg,,2026-05-09
mexintl,Expansive Homesite with In-Progress Residence in Bosques de Chicxulub,216459.0,USD,4,4,006810,https://mexintl.com.mx/listing/006810/,https://mexintl.com.mx/wp-content/uploads/2026/04/Side-of-House-scaled.jpg,,2026-05-09
mexintl,Quiet Property With Expansive Land In Ermita,355000.0,USD,,2,006809,https://mexintl.com.mx/listing/006809/,https://mexintl.com.mx/wp-content/uploads/2026/04/IMG-20260419-WA0003.jpg,,2026-05-09
mexintl,"Casa Magico – Contemporary Home with Casita, Pool & Investment Potential in Mejorada",443000.0,USD,,3,006812,https://mexintl.com.mx/listing/006812/,https://mexintl.com.mx/wp-content/uploads/2026/05/e453f73a-818d-4ee1-ad57-dc43cd935014.jpeg,,2026-05-09
mexintl,Beautiful Beachfront Condo,399500.0,USD,,4,006808,https://mexintl.com.mx/listing/006808/,https://mexintl.com.mx/wp-content/uploads/2026/04/PHOTO-2026-04-25-22-32-19-2.jpg,,2026-05-09
mexintl,Turnkey Coastal Retreat In Chelem,449000.0,USD,3,3,006802,https://mexintl.com.mx/listing/006802/,https://mexintl.com.mx/wp-content/uploads/2026/04/20.jpg,DOUBLE (group 1),2026-05-09
mexintl,Beach Home in San Benito w/ Solar Panels-Turnkey,492000.0,USD,,4,006804,https://mexintl.com.mx/listing/006804/,https://mexintl.com.mx/wp-content/uploads/2026/04/main-foto.jpeg,,2026-05-09
mexintl,Casa Feliz – PREMIUM UPGRADES here in Dzitya,394000.0,USD,,3,006801,https://mexintl.com.mx/listing/006801/,https://mexintl.com.mx/wp-content/uploads/2026/04/Casa-Feliz_52_featured-1.jpg,"TRIPLE+ (group 2, 3 agencies)",2026-05-09
mexintl,Yucatan,40000.0,USD,,,Yucatan,https://mexintl.com.mx/yucatan/,,,2026-05-09
